year,total_num_of_stations,new_stations_added,average_distance_mi,maximum_distance_mi
2009,1,1,NA,NA
2010,2,1,242.38983895753574,242.38983895753574
2011,60,58,224.88192370738366,746.3542717280707
2012,69,9,231.62656962070534,746.3542717280707
2013,79,10,220.9665463773534,746.3542717280707
2014,114,35,204.2028993833231,746.3542717280707
2015,216,102,197.06294384583632,755.3479672125369
2016,308,92,193.97298100958383,755.3479672125369
2017,408,100,202.7221995493808,756.8676615121717
2018,605,197,191.76201227972592,756.8676615121717
2019,787,182,189.1994215688409,756.8676615121717
2020,1142,355,179.27130147889355,756.8676615121717
2021,1866,724,168.29638226894394,756.8676615121717
2022,2539,673,168.6491910624448,759.6998901540312
2023,2817,278,169.54601201747045,769.4840112983975
